judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
gpt-4o-mini,GRPO,B6_AF_per_turn,6,1,0,1,0,5,,0.00796774442219026,0.07912395037558492,0.003260224879323176,0.042982239866076855,0.33485211591739594,5,0.03373077943889965,False
gpt-4o-mini,GRPO,B7_Seek,6,0,0,0,0,,,0.125,0.057857295888054217,0.09375,0.04170055027531305,0.2160764453166492,5,0.5208333333333334,False
gpt-4o-mini,GRPO,B7_Seek_per_turn,6,0,0,0,0,,,0.00834489540015393,0.06791357334240607,0.004754917825969618,0.03901291455179208,0.20610584983421193,5,0.027139947012469388,False
gpt-4o-mini,GRPO,MICI_AdviseNoPermission,6,0,1,1,0,,3,-0.24375,-0.13516107515644032,0.22916666666666666,0.09881446124958354,0.36706249042095707,3,-0.65625,True
gpt-4o-mini,GRPO,MICI_AdviseNoPermission_rate,6,0,3,3,0,,"3,4,5",-0.04055369212989266,-0.2513114716385167,0.009682719080455152,0.050617863097409246,0.37943728751308836,5,-0.06224386529953186,True
gpt-4o-mini,GRPO,MICI_BehaviorTotal,6,0,1,1,0,,3,-0.3416666666666667,-0.12495246095163264,0.16666666666666666,0.03451365957648973,0.41938326258484143,3,-1.09375,True
gpt-4o-mini,GRPO,MICI_Confront,6,0,1,1,0,,3,-0.041666666666666664,-0.1615724002270071,0.03125,0.07005015912464746,0.31995419930854546,3,-0.09375,True
gpt-4o-mini,GRPO,MICI_Confront_rate,6,0,1,1,0,,3,-0.0023230198151179267,-0.124963417139176,0.002760076156615478,0.06849234575656697,0.30524870282195316,3,-0.0057700892857142855,True
gpt-4o-mini,GRPO,MICI_Direct,6,0,2,2,0,,"3,4",-0.10416666666666667,-0.1078022220745017,0.10416666666666667,0.054506953373438534,0.32752652756097034,4,-0.2708333333333333,True
gpt-4o-mini,GRPO,MICI_Direct_rate,6,0,1,1,0,,4,-0.01135602604428321,-0.12568547162429172,-0.0031965646594970857,-0.02681407820085085,0.32258830112274567,4,-0.025291456228956222,True
gpt-4o-mini,GRPO,MICI_Judge,6,0,1,1,0,,2,-0.0375,-0.13981471942364593,0.020833333333333332,0.030626682498838747,0.278984582017977,2,-0.14583333333333334,True
gpt-4o-mini,GRPO,MICI_Judge_rate,6,0,0,0,0,,,-0.0026194971877537662,-0.1313964728129176,0.0008021484633936685,0.015671019198070735,0.2606175046105036,3,-0.0046068948412698405,True
gpt-4o-mini,GRPO,MICI_OverPraise,6,1,0,0,1,5,,0.10625,0.09471542069462255,-0.20833333333333334,-0.07664848403771479,0.377663405546972,5,0.4270833333333333,True
gpt-4o-mini,GRPO,MICI_OverPraise_rate,6,1,0,0,1,5,,0.007709316519029721,0.07616093020331247,-0.006867221320346321,-0.051719548247865454,0.30100634361080775,5,0.029671004694781872,True
gpt-4o-mini,GRPO,MICI_Rate,6,0,1,1,0,,3,-0.05069552413003122,-0.20632415712629,0.0023041990311622085,0.00727129241829498,0.31939157951725244,3,-0.07743919387463692,True
gpt-4o-mini,GRPO,MICI_Severity,6,0,1,1,0,,3,-0.2125,-0.2397660614503101,-0.16666666666666666,-0.14627507100116682,0.5270844892216385,3,-0.4583333333333333,True
gpt-4o-mini,GRPO,MICI_Warn,6,0,0,0,0,,,-0.020833333333333336,-0.1484952370073198,-0.010416666666666666,-0.04545256843932348,0.17866740892158448,3,-0.03125,True
gpt-4o-mini,GRPO,MICI_Warn_rate,6,0,0,0,0,,,-0.0015526054720133666,-0.1455275080086517,-0.0008769586894586894,-0.05530213119505726,0.17386322229842074,3,-0.0018551587301587301,True
gpt-4o-mini,GRPO,RtoQ,6,0,0,0,0,,,0.005320720783440083,0.014930166214793405,-0.061598124098124124,-0.07874307860597352,0.11900224103164751,5,0.06627401837928154,False
