method,iteration,metric,contrast,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
GRPO,2,Q2,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.09313725490196083,-0.09378453120644002,-0.29168198529411765,0.100551470588235,0.4592100412079235,1.0,-0.0698529411764706,-0.10085379125805456,-0.20405943627450984,0.06128982843137241,0.2667101061518331,0.8501551900009181,True,False,K5,K5
GRPO,3,Q2,GRPO_LA0_I3 − GRPO_LA5_I3,96,0.13419117647058817,0.27794882592175685,0.04044117647058821,0.22916666666666663,0.02532630916557982,0.1519578549934789,0.04718137254901961,0.11647221888114913,-0.03125000000000002,0.1268535539215686,0.21253879750022953,0.8501551900009181,True,False,K0,K0
GRPO,4,Q2,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.02879901960784309,-0.06877583224838854,-0.11153492647058813,0.05393688725490194,0.487717016017001,1.0,-0.0974264705882353,-0.17428208623072694,-0.2089460784313726,0.017156862745098013,0.09670519174644981,0.4835259587322491,True,False,K5,K5
GRPO,5,Q2,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.020833333333333287,-0.03935451563837282,-0.12440257352941173,0.08887867647058814,0.35872816827002707,1.0,-0.17218137254901955,-0.25686272840020397,-0.3082261029411764,-0.037974877450980424,0.06086612268784277,0.3651967361270566,True,True,K5,K5
GRPO,0,WAI-SR,GRPO_LA0_Base − GRPO_LA5_Base,96,0.0329861111111111,0.05093699476111698,-0.09290364583333335,0.1614583333333333,0.7864033431451183,1.0,0.057291666666666664,0.09744668467213832,-0.056423611111111084,0.175368923611111,0.5202209864845087,1.0,True,False,K0,K0
GRPO,1,WAI-SR,GRPO_LA0_I1 − GRPO_LA5_I1,96,0.012152777777777776,0.01776210186928569,-0.12068142361111106,0.14845920138888874,0.9354974548650765,1.0,0.06857638888888888,0.1079759969839626,-0.054709201388888906,0.19184027777777776,0.3659195283064366,1.0,True,False,K0,K0
GRPO,2,WAI-SR,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.03993055555555558,-0.04649012103995734,-0.20572916666666666,0.12586805555555555,0.4397202544521426,1.0,0.007812500000000012,0.009557763258448024,-0.14759114583333333,0.16753472222222218,0.6604321233647144,1.0,False,False,K5,K0
GRPO,3,WAI-SR,GRPO_LA0_I3 − GRPO_LA5_I3,96,-0.019097222222222255,-0.03951669828283403,-0.1137369791666667,0.0755208333333333,0.7675515299964133,1.0,0.08593750000000001,0.17771537732086268,-0.009570312499999995,0.17968750000000003,0.07290097874045567,0.43740587244273404,False,False,K5,K0
GRPO,4,WAI-SR,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.14930555555555555,-0.28842483878122493,-0.2500217013888889,-0.04769965277777801,0.017969595908905844,0.08984797954452922,-0.07204861111111112,-0.13041512482355275,-0.1753472222222222,0.037369791666666444,0.2037330268577333,0.8149321074309333,True,False,K5,K5
GRPO,5,WAI-SR,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.2552083333333333,-0.4458822078713585,-0.3776258680555556,-0.14409722222222224,7.22221186057721e-05,0.00043333271163463255,-0.109375,-0.19448516829426166,-0.21961805555555555,0.0017361111111111212,0.13764823548601435,0.6882411774300717,True,False,K5,K5
GRPO,0,CSQ-8,GRPO_LA0_Base − GRPO_LA5_Base,96,0.006510416666666667,0.011166516069385743,-0.10680338541666666,0.12373046874999982,0.6812379412129203,1.0,-0.00390625,-0.006975047238850942,-0.12242838541666666,0.10813802083333299,0.9047334749864148,1.0,False,False,K0,K5
