judge,K,iteration,metric,contrast,n,delta,dz,ci_lo,ci_hi,p,p_holm,p_holm_rubrics,favours
claude-haiku-4-5,5,4,Q2,PTO_LA5_I4 − GRPO_LA5_I4,96,-0.11274509803921569,-0.2159826621896811,-0.22120098039215685,-0.00735294117647059,0.15212826719922254,0.6085130687968902,0.6085130687968902,GRPO
claude-haiku-4-5,5,5,Q2,PTO_LA5_I5 − GRPO_LA5_I5,96,-0.16482843137254904,-0.3041879003888438,-0.27144607843137253,-0.05758272058823537,0.003933578922080866,0.023601473532485193,0.02753505245456606,GRPO
claude-haiku-4-5,5,0,WAI-SR,PTO_LA5_Base − GRPO_LA5_Base,96,-0.015624999999999995,-0.023560613922622244,-0.14759114583333333,0.11545138888888891,0.9211237304074545,1.0,1.0,GRPO
claude-haiku-4-5,5,1,WAI-SR,PTO_LA5_I1 − GRPO_LA5_I1,96,-0.06250000000000001,-0.08527829175173265,-0.2074869791666667,0.07812499999999999,0.4161127680906783,1.0,1.0,GRPO
claude-haiku-4-5,5,2,WAI-SR,PTO_LA5_I2 − GRPO_LA5_I2,96,-0.026041666666666685,-0.03311783503423454,-0.17539062500000002,0.12243923611111086,0.744356084622579,1.0,1.0,GRPO
claude-haiku-4-5,5,3,WAI-SR,PTO_LA5_I3 − GRPO_LA5_I3,96,-0.20572916666666666,-0.34132242096215426,-0.3255208333333334,-0.09375000000000001,0.0016257825900891478,0.009754695540534887,0.011380478130624035,GRPO
claude-haiku-4-5,5,4,WAI-SR,PTO_LA5_I4 − GRPO_LA5_I4,96,-0.1310763888888889,-0.24904461644340992,-0.23784722222222218,-0.021701388888888895,0.026411312779108374,0.13205656389554188,0.13205656389554188,GRPO
claude-haiku-4-5,5,5,WAI-SR,PTO_LA5_I5 − GRPO_LA5_I5,96,-0.040798611111111084,-0.07356158860442719,-0.1579861111111111,0.06514756944444423,0.9390447985152596,1.0,1.0,GRPO
claude-haiku-4-5,5,0,CSQ-8,PTO_LA5_Base − GRPO_LA5_Base,96,0.0078125,0.01119756201631309,-0.13151041666666666,0.14192708333333334,0.7738753072144045,1.0,1.0,PTO
claude-haiku-4-5,5,1,CSQ-8,PTO_LA5_I1 − GRPO_LA5_I1,96,-0.07291666666666667,-0.10093011074452442,-0.21744791666666666,0.06901041666666667,0.42193136775530604,1.0,1.0,GRPO
claude-haiku-4-5,5,2,CSQ-8,PTO_LA5_I2 − GRPO_LA5_I2,96,-0.0078125,-0.009196595156268746,-0.17447916666666666,0.1497721354166665,0.8971015997443008,1.0,1.0,GRPO
claude-haiku-4-5,5,3,CSQ-8,PTO_LA5_I3 − GRPO_LA5_I3,96,-0.1796875,-0.2701617056761208,-0.3164388020833333,-0.05465494791666684,0.006073862557121797,0.03644317534273078,0.03644317534273078,GRPO
